image_path,class_id,class_name,split,content_hash
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (1).png,0,Normal,train,966fb4c02a97c3ffb89f91a98e22437f
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (10).png,0,Normal,val,1af13c5538c1ab5597db6ad72b61e463
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (100).png,0,Normal,train,e9305b8cbbd5ccb7cd894762124e803b
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (101).png,0,Normal,train,dfc4994e51039c9fb4d960c706865c2d
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (102).png,0,Normal,val,0156aac54417d9c793356c816324016c
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (103).png,0,Normal,train,85e3031441c4c396990a0b23afc6933c
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (104).png,0,Normal,train,6bfb578f03f0ace55d13e63d3da7983f
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (105).png,0,Normal,train,fa93ced39ae167ac8ba8f3e55cddaf90
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (106).png,0,Normal,val,469acd6f47ea56442e0c60ed22ba08d9
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (107).png,0,Normal,train,cd27c9ca7aff5171b593b5773c52b2b4
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (108).png,0,Normal,train,e8bbad26854014c35411d3b0738b8efc
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (109).png,0,Normal,train,4589fe381fbfaf30a06ea9dbfd4fe89d
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (11).png,0,Normal,train,ba6436ed9d5df33f985b31ba50735e49
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (110).png,0,Normal,val,2e7651c46a6ac7fbeed8fd3126dfcba9
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (111).png,0,Normal,val,de963c988854080458f750bb661547e9
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (112).png,0,Normal,train,3a3185920c9f3d9dee6d81b39e05c665
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (113).png,0,Normal,train,5f63ba22b33ffbbfafff509f6b54807c
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (114).png,0,Normal,train,3c66db523ff8eecabc7d70b254337369
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (115).png,0,Normal,train,f665f50e51ee9ffb6a08acd03504a9a6
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (116).png,0,Normal,train,03c5dd26f21737d99436d6694bfd4743
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (117).png,0,Normal,val,1b55a0047fbc35407f3e2333f66e1f50
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (118).png,0,Normal,test,4bc69d741c261895cdff4a4d74b14d7a
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (119).png,0,Normal,train,69b4e136fc13f6c2267993cb9d862351
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (12).png,0,Normal,train,d035602a9666b3b8876c05ed2e6245a3
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (120).png,0,Normal,train,32392cef2b8d1fc9d08222a85574c82c
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (121).png,0,Normal,train,2d3491f49fdedc7afdea909fd1a43187
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (122).png,0,Normal,train,428a7f69c291b0468c45d837f2930f99
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (123).png,0,Normal,test,06e9ad3a0a08d7cc4b5e040716d905d2
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (124).png,0,Normal,train,69bdfb2d61ea7522aff25765f583364a
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (125).png,0,Normal,train,3747d4f7251e408b64fe88680777f3da
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (126).png,0,Normal,train,2dc918b1f9dfb83b37c3a1f7e4d91f45
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (127).png,0,Normal,train,12325d8ac0981514580d48f35d4673b5
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (128).png,0,Normal,test,8f61f2d1c75fcc3371f860498d1899ca
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (129).png,0,Normal,train,7dec804fe07f3aa4b128029ba857f81d
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (13).png,0,Normal,val,e79dc03109440724b5b1c30b0e001439
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (130).png,0,Normal,train,982ef13bd40558e313fb95a84304160d
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (131).png,0,Normal,train,f75bd024f9dcbd16cc975b621b533760
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (132).png,0,Normal,train,5783fc0c233c0bea35aa90dc46332806
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (133).png,0,Normal,train,60007408ff4194383ef761b1f213e473
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (134).png,0,Normal,train,461e70ee7b0696b3a497f861ce3f1178
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (135).png,0,Normal,val,440a04b6ad13735305fb3b56d3c37bbe
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (136).png,0,Normal,train,81512040e1bbb58fd31885d54865c885
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (137).png,0,Normal,train,03a37078c13a885d5de291381135870b
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (138).png,0,Normal,test,ba376b91ec9225e9e87fe8b42b4bbdb7
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (139).png,0,Normal,train,b4ebed5790dd477baa7fd659e9bcf8aa
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (14).png,0,Normal,train,f5286953fc7a2f8afe03ba09404b445c
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (140).png,0,Normal,train,a32218b0d9026e91ed3e121130c03d89
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (141).png,0,Normal,test,d70476a622394d8dbc79bfc378f82fca
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (142).png,0,Normal,test,faf560e3e2a4f48c3c15f5757b112447
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (143).png,0,Normal,test,305d4c4f60e11dd18bfb6f204f2eb8b5
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (144).png,0,Normal,test,5cce93eb0854448e5dea1fbc5ed1b987
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (145).png,0,Normal,train,940bdac7781200525f03eef7ce09db7b
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (146).png,0,Normal,val,f5db3549ca32365894d56e32c34a43e4
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (147).png,0,Normal,val,7db7a16da5c6ce7c979b21fda676a073
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (148).png,0,Normal,test,27ec77329c7e479d612158ad25449285
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (149).png,0,Normal,train,c6ffc0963313b1d446f46ae1dc6dd637
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (15).png,0,Normal,train,817e9da7b508c992a88fa365dc4644bd
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (150).png,0,Normal,train,b01bae32ac0c8cee9b36374b756b877a
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (151).png,0,Normal,val,5441e8981c7f959536e0dad2fc0bd9f8
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (152).png,0,Normal,train,11af3ffed18bf9fc0d99e352f2178da3
C:\Users\heman\Downloads\orthinx dataset\MedicalExpert-I\0Normal\NormalG0 (153).png,0,Normal,train,854f98fd8700d4c63bbdb84202237930
